115.000,47500.000,2.451,0.077,-2.527,-2.129,-2.401,4.529
116.000,47916.667,2.234,0.449,-2.683,-1.588,-2.882,4.470
117.000,48333.333,1.980,0.813,-2.793,-1.021,-3.314,4.335
118.000,48750.000,1.692,1.163,-2.855,-0.436,-3.689,4.125
119.000,49166.667,1.375,1.493,-2.868,0.157,-4.002,3.844
120.000,49583.333,1.035,1.798,-2.833,0.747,-4.245,3.498
121.000,50000.000,0.678,2.072,-2.750,1.325,-4.417,3.092
122.000,50416.667,0.309,2.310,-2.619,1.879,-4.512,2.633
123.000,50833.333,-0.064,2.508,-2.444,2.402,-4.530,2.129
124.000,51250.000,-0.436,2.663,-2.228,2.883,-4.471,1.588
125.000,51666.667,-0.800,2.773,-1.973,3.315,-4.336,1.020
126.000,52083.333,-1.150,2.835,-1.685,3.690,-4.126,0.435
127.000,52500.000,-1.481,2.849,-1.369,4.003,-3.845,-0.158
128.000,52916.667,-1.785,2.814,-1.029,4.246,-3.499,-0.748
129.000,53333.333,-2.059,2.730,-0.672,4.418,-3.093,-1.325
130.000,53750.000,-2.297,2.600,-0.303,4.513,-2.634,-1.879
131.000,54166.667,-2.495,2.425,0.070,4.532,-2.130,-2.402
132.000,54583.333,-2.651,2.208,0.442,4.472,-1.589,-2.883
133.000,55000.000,-2.761,1.954,0.807,4.337,-1.021,-3.315
134.000,55416.667,-2.823,1.666,1.157,4.127,-0.436,-3.691
135.000,55833.333,-2.836,1.349,1.487,3.846,0.157,-4.003
136.000,56250.000,-2.801,1.009,1.792,3.500,0.747,-4.247
137.000,56666.667,-2.718,0.652,2.065,3.094,1.324,-4.418
138.000,57083.333,-2.587,0.284,2.303,2.635,1.879,-4.513
139.000,57500.000,-2.412,-0.090,2.502,2.131,2.401,-4.532
140.000,57916.667,-2.196,-0.462,2.657,1.590,2.882,-4.473
141.000,58333.333,-1.941,-0.826,2.767,1.022,3.315,-4.337
142.000,58750.000,-1.653,-1.176,2.829,0.437,3.690,-4.127
143.000,59166.667,-1.337,-1.506,2.843,-0.155,4.002,-3.847
144.000,59583.333,-0.997,-1.811,2.807,-0.745,4.246,-3.500
145.000,60000.000,-0.640,-2.084,2.724,-1.323,4.417,-3.094
146.000,60416.667,-0.271,-2.323,2.594,-1.877,4.513,-2.635
147.000,60833.333,0.102,-2.521,2.419,-2.400,4.531,-2.131
148.000,61250.000,0.474,-2.676,2.202,-2.881,4.472,-1.591
149.000,61666.667,0.839,-2.786,1.948,-3.313,4.336,-1.023
150.000,62083.333,1.189,-2.848,1.660,-3.689,4.126,-0.438
151.000,62500.000,1.519,-2.862,1.343,-4.001,3.846,0.155
152.000,62916.667,1.823,-2.827,1.003,-4.245,3.499,0.745
153.000,63333.333,2.097,-2.743,0.646,-4.416,3.093,1.322
154.000,63750.000,2.335,-2.613,0.277,-4.511,2.634,1.877
155.000,64166.667,2.534,-2.438,-0.096,-4.530,2.130,2.400
156.000,64583.333,2.689,-2.221,-0.468,-4.471,1.590,2.881
157.000,65000.000,2.799,-1.967,-0.832,-4.335,1.022,3.313
158.000,65416.667,2.861,-1.679,-1.182,-4.125,0.437,3.688
159.000,65833.333,2.875,-1.362,-1.512,-3.845,-0.156,4.001
160.000,66250.000,2.839,-1.022,-1.817,-3.498,-0.746,4.244
161.000,66666.667,2.756,-0.665,-2.091,-3.092,-1.323,4.416
162.000,67083.333,2.625,-0.297,-2.329,-2.633,-1.878,4.511
163.000,67500.000,2.450,0.077,-2.527,-2.129,-2.400,4.529
164.000,67916.667,2.234,0.449,-2.683,-1.588,-2.882,4.470
165.000,68333.333,1.979,0.813,-2.792,-1.021,-3.314,4.335
166.000,68750.000,1.691,1.163,-2.855,-0.435,-3.689,4.125
167.000,69166.667,1.375,1.493,-2.868,0.157,-4.001,3.844
168.000,69583.333,1.035,1.798,-2.833,0.747,-4.245,3.498
169.000,70000.000,0.678,2.072,-2.749,1.325,-4.416,3.092
170.000,70416.667,0.309,2.310,-2.619,1.879,-4.512,2.633
171.000,70833.333,-0.064,2.508,-2.444,2.402,-4.530,2.129
172.000,71250.000,-0.436,2.664,-2.228,2.883,-4.471,1.588
173.000,71666.667,-0.800,2.773,-1.973,3.315,-4.335,1.020
174.000,72083.333,-1.151,2.836,-1.685,3.690,-4.126,0.435
175.000,72500.000,-1.481,2.849,-1.368,4.003,-3.845,-0.158
176.000,72916.667,-1.785,2.814,-1.029,4.247,-3.499,-0.748
177.000,73333.333,-2.059,2.730,-0.671,4.418,-3.093,-1.325
178.000,73750.000,-2.297,2.600,-0.303,4.513,-2.634,-1.879
179.000,74166.667,-2.496,2.425,0.071,4.532,-2.130,-2.402
180.000,74583.333,-2.651,2.208,0.443,4.472,-1.589,-2.883
181.000,75000.000,-2.761,1.954,0.807,4.337,-1.021,-3.315
182.000,75416.667,-2.823,1.666,1.157,4.127,-0.436,-3.691
183.000,75833.333,-2.837,1.349,1.487,3.846,0.157,-4.003
184.000,76250.000,-2.801,1.010,1.792,3.500,0.747,-4.247
185.000,76666.667,-2.718,0.652,2.065,3.094,1.324,-4.418
186.000,77083.333,-2.587,0.284,2.303,2.635,1.879,-4.514
187.000,77500.000,-2.412,-0.090,2.502,2.131,2.401,-4.532
188.000,77916.667,-2.196,-0.462,2.657,1.590,2.883,-4.473
189.000,78333.333,-1.941,-0.826,2.767,1.023,3.314,-4.337
190.000,78750.000,-1.653,-1.176,2.829,0.437,3.690,-4.127
191.000,79166.667,-1.337,-1.506,2.843,-0.155,4.002,-3.847
192.000,79583.333,-0.997,-1.811,2.808,-0.746,4.246,-3.500
193.000,80000.000,-0.640,-2.084,2.724,-1.323,4.417,-3.094
194.000,80416.667,-0.271,-2.323,2.594,-1.877,4.513,-2.635
195.000,80833.333,0.102,-2.521,2.419,-2.400,4.531,-2.131
196.000,81250.000,0.474,-2.676,2.202,-2.881,4.472,-1.591
197.000,81666.667,0.838,-2.786,1.948,-3.313,4.336,-1.023
198.000,82083.333,1.189,-2.848,1.660,-3.689,4.126,-0.438
199.000,82500.000,1.519,-2.862,1.343,-4.001,3.846,0.155
200.000,82916.667,1.823,-2.827,1.003,-4.245,3.500,0.745
201.000,83333.333,2.097,-2.743,0.646,-4.416,3.093,1.322
202.000,83750.000,2.335,-2.613,0.278,-4.511,2.634,1.877
203.000,84166.667,2.533,-2.438,-0.096,-4.530,2.130,2.400
204.000,84583.333,2.689,-2.221,-0.468,-4.471,1.590,2.881
205.000,85000.000,2.799,-1.967,-0.832,-4.335,1.022,3.313
206.000,85416.667,2.861,-1.679,-1.182,-4.125,0.437,3.688
207.000,85833.333,2.874,-1.362,-1.512,-3.845,-0.156,4.001
208.000,86250.000,2.839,-1.022,-1.817,-3.498,-0.746,4.244
209.000,86666.667,2.756,-0.665,-2.091,-3.092,-1.323,4.416
210.000,87083.333,2.625,-0.297,-2.329,-2.633,-1.878,4.511
211.000,87500.000,2.450,0.077,-2.527,-2.129,-2.400,4.529
212.000,87916.667,2.234,0.449,-2.683,-1.588,-2.882,4.470
213.000,88333.333,1.979,0.813,-2.792,-1.021,-3.314,4.335
214.000,88750.000,1.691,1.163,-2.854,-0.435,-3.689,4.125
215.000,89166.667,1.375,1.494,-2.868,0.157,-4.002,3.844
216.000,89583.333,1.035,1.798,-2.833,0.747,-4.245,3.498
217.000,90000.000,0.678,2.072,-2.749,1.325,-4.416,3.092
218.000,90416.667,0.309,2.310,-2.619,1.879,-4.512,2.633
219.000,90833.333,-0.064,2.508,-2.444,2.402,-4.530,2.129
220.000,91250.000,-0.436,2.664,-2.227,2.883,-4.471,1.588
221.000,91666.667,-0.801,2.773,-1.973,3.315,-4.335,1.020
222.000,92083.333,-1.151,2.836,-1.685,3.691,-4.126,0.435
223.000,92500.000,-1.481,2.849,-1.368,4.003,-3.845,-0.158
224.000,92916.667,-1.786,2.814,-1.028,4.247,-3.499,-0.748
225.000,93333.333,-2.059,2.730,-0.671,4.418,-3.093,-1.325
226.000,93750.000,-2.297,2.600,-0.303,4.513,-2.634,-1.879
227.000,94166.667,-2.496,2.425,0.071,4.531,-2.130,-2.402
228.000,94583.333,-2.651,2.209,0.443,4.472,-1.589,-2.883
229.000,95000.000,-2.761,1.954,0.807,4.337,-1.021,-3.315
230.000,95416.667,-2.823,1.666,1.157,4.127,-0.436,-3.691
